java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,DesignpatternsimplementedinJava,Java,33.6k
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,RxJavaCReactiveExtensionsfortheJVMCalibraryforcomposingasynchronousandevent-basedprogramsusingobserv…,Java,33.1k
elasticsearch,elastic,https://github.com/elastic/elasticsearch,"OpenSource,Distributed,RESTfulSearchEngine",Java,31k
retrofit,square,https://github.com/square/retrofit,"Type-safeHTTPclientforAndroidandJavabySquare,Inc.",Java,27.9k
okhttp,square,https://github.com/square/okhttp,AnHTTP+HTTP/2clientforAndroidandJavaapplications.,Java,26.7k
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,SpringBoot,Java,24.6k
guava,google,https://github.com/google/guava,GooglecorelibrariesforJava,Java,24.2k
interviews,kdn251,https://github.com/kdn251/interviews,Everythingyouneedtoknowtogetthejob.,Java,23k
glide,bumptech,https://github.com/bumptech/glide,AnimageloadingandcachinglibraryforAndroidfocusedonsmoothscrolling,Java,21.7k
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,DesignpatternsimplementedinJava,Java,33.6k
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,RxJavaCReactiveExtensionsfortheJVMCalibraryforcomposingasynchronousandevent-basedprogramsusingobserv…,Java,33.1k
elasticsearch,elastic,https://github.com/elastic/elasticsearch,"OpenSource,Distributed,RESTfulSearchEngine",Java,31k
retrofit,square,https://github.com/square/retrofit,"Type-safeHTTPclientforAndroidandJavabySquare,Inc.",Java,27.9k
okhttp,square,https://github.com/square/okhttp,AnHTTP+HTTP/2clientforAndroidandJavaapplications.,Java,26.7k
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,SpringBoot,Java,24.6k
guava,google,https://github.com/google/guava,GooglecorelibrariesforJava,Java,24.2k
interviews,kdn251,https://github.com/kdn251/interviews,Everythingyouneedtoknowtogetthejob.,Java,23k
glide,bumptech,https://github.com/bumptech/glide,AnimageloadingandcachinglibraryforAndroidfocusedonsmoothscrolling,Java,21.7k
spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,SpringFramework,Java,21.1k
butterknife,JakeWharton,https://github.com/JakeWharton/butterknife,BindAndroidviewsandcallbackstofieldsandmethods.,Java,21.1k
lottie-android,airbnb,https://github.com/airbnb/lottie-android,"RenderAfterEffectsanimationsnativelyonAndroidandiOS,Web,andReactNative",Java,20.7k
leakcanary,square,https://github.com/square/leakcanary,AmemoryleakdetectionlibraryforAndroidandJava.,Java,19.4k
incubator-dubbo,apache,https://github.com/apache/incubator-dubbo,"ApacheDubbo(incubating)isahigh-performance,javabased,opensourceRPCframework.",Java,18.9k
zxing,zxing,https://github.com/zxing/zxing,"ZXing(""ZebraCrossing"")barcodescanninglibraryforJava,Android",Java,18.6k
EventBus,greenrobot,https://github.com/greenrobot/EventBus,"EventbusforAndroidandJavathatsimplifiescommunicationbetweenActivities,Fragments,Threads,Services,etc.L…",Java,18.2k
Android-Universal-Image-Loader,nostra13,https://github.com/nostra13/Android-Universal-Image-Loader,"Powerfulandflexiblelibraryforloading,cachinganddisplayingimagesonAndroid.",Java,16.1k
RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,RxJavabindingsforAndroid,Java,15.9k
iosched,google,https://github.com/google/iosched,TheGoogleI/O2017AndroidApp,Java,15.6k
picasso,square,https://github.com/square/picasso,ApowerfulimagedownloadingandcachinglibraryforAndroid,Java,15.4k
jadx,skylot,https://github.com/skylot/jadx,DextoJavadecompiler,Java,14.8k
fresco,facebook,https://github.com/facebook/fresco,AnAndroidlibraryformanagingimagesandthememorytheyuse.,Java,14.5k
netty,netty,https://github.com/netty/netty,Nettyproject-anevent-drivenasynchronousnetworkapplicationframework,Java,14k
libgdx,libgdx,https://github.com/libgdx/libgdx,Desktop/Android/HTML5/iOSJavagamedevelopmentframework,Java,13.9k
Hystrix,Netflix,https://github.com/Netflix/Hystrix,"Hystrixisalatencyandfaulttolerancelibrarydesignedtoisolatepointsofaccesstoremotesystems,servicesand…",Java,13.6k
BaseRecyclerViewAdapterHelper,CymChad,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,BRVAH:PowerfulandflexibleRecyclerAdapter,Java,13.5k
material-dialogs,afollestad,https://github.com/afollestad/material-dialogs,"Abeautiful,fluid,andcustomizabledialogsAPI.",Java,13.3k
PhotoView,chrisbanes,https://github.com/chrisbanes/PhotoView,"ImplementationofImageViewforAndroidthatsupportszooming,byvarioustouchgestures.",Java,13.1k
tinker,Tencent,https://github.com/Tencent/tinker,"Tinkerisahot-fixsolutionlibraryforAndroid,itsupportsdex,libraryandresourcesupdatewithoutreinstallapk.",Java,11.8k
Android-CleanArchitecture,android10,https://github.com/android10/Android-CleanArchitecture,ThisisasampleappthatispartofaseriesofblogpostsIhavewrittenabouthowtoarchitectanandroidapplicat…,Java,11.7k
Material-Animations,lgvalle,https://github.com/lgvalle/Material-Animations,AndroidTransitionanimationsexplanationwithexamples.,Java,11.5k
plaid,nickbutcher,https://github.com/nickbutcher/plaid,AnAndroidappwhichprovidesdesignnews&inspirationaswellasbeinganexampleofimplementingmaterialdesign.,Java,11k
SlidingMenu,jfeinstein10,https://github.com/jfeinstein10/SlidingMenu,AnAndroidlibrarythatallowsyoutoeasilycreateapplicationswithslide-inmenus.YoumayuseitinyourAndroid…,Java,11k
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,Abrowserautomationframeworkandecosystem.,Java,10.5k
androidannotations,androidannotations,https://github.com/androidannotations/androidannotations,FastAndroidDevelopment.Easymaintainance.,Java,10.3k
android-async-http,loopj,https://github.com/loopj/android-async-http,AnAsynchronousHTTPLibraryforAndroid,Java,10.2k
zheng,shuzheng,https://github.com/shuzheng/zheng,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支…,Java,10k
AndroidSwipeLayout,daimajia,https://github.com/daimajia/AndroidSwipeLayout,TheMostPowerfulSwipeLayout!,Java,10k
ExoPlayer,google,https://github.com/google/ExoPlayer,AnextensiblemediaplayerforAndroid,Java,10k
greenDAO,greenrobot,https://github.com/greenrobot/greenDAO,greenDAOisalight&fastORMsolutionforAndroidthatmapsobjectstoSQLitedatabases.,Java,10k
Telegram,DrKLO,https://github.com/DrKLO/Telegram,TelegramforAndroidsource,Java,9.8k
CircleImageView,hdodenhof,https://github.com/hdodenhof/CircleImageView,AcircularImageViewforAndroid,Java,9.8k
ViewPagerIndicatorArchived,JakeWharton,https://github.com/JakeWharton/ViewPagerIndicatorArchived,PagingindicatorwidgetscompatiblewiththeViewPagerfromtheAndroidSupportLibraryandActionBarSherlock.,Java,9.8k
stetho,facebook,https://github.com/facebook/stetho,"StethoisadebugbridgeforAndroidapplications,enablingthepowerfulChromeDeveloperToolsandmuchmore.",Java,9.7k
realm-java,realm,https://github.com/realm/realm-java,Realmisamobiledatabase:areplacementforSQLite&ORMs,Java,9.5k
Signal-Android,signalapp,https://github.com/signalapp/Signal-Android,AprivatemessengerforAndroid.,Java,9.5k
incubator-weex,apache,https://github.com/apache/incubator-weex,MirrorofApacheWeex,Java,9.4k
AndroidViewAnimations,daimajia,https://github.com/daimajia/AndroidViewAnimations,Cuteviewanimationcollection.,Java,9.4k
android-UniversalMusicPlayer,googlesamples,https://github.com/googlesamples/android-UniversalMusicPlayer,Thissampleshowshowtoimplementanaudiomediaappthatworksacrossmultipleformfactorsandprovideaconsisten…,Java,9.4k
bytecode-viewer,Konloch,https://github.com/Konloch/bytecode-viewer,"AJava8Jar&AndroidAPKReverseEngineeringSuite(Decompiler,Editor,Debugger&More)",Java,9.4k
PocketHub,pockethub,https://github.com/pockethub/PocketHub,PocketHubAndroidApp,Java,9.3k
MaterialDrawer,mikepenz,https://github.com/mikepenz/MaterialDrawer,"Theflexible,easytouse,allinonedrawerlibraryforyourAndroidproject.",Java,9.2k
java8-tutorial,winterbe,https://github.com/winterbe/java8-tutorial,ModernJava-AGuidetoJava8,Java,9.2k
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,FizzBuzzEnterpriseEditionisano-nonsenseimplementationofFizzBuzzmadebyseriousbusinessmenforseriousbusin…,Java,9.2k
storm,nathanmarz,https://github.com/nathanmarz/storm,"Distributedandfault-tolerantrealtimecomputation:streamprocessing,continuouscomputation,distributedRPC,and…",Java,9.1k
android-Ultra-Pull-To-Refresh,liaohuqiu,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,UltraPulltoRefreshforAndroid.Supportalltheviews.,Java,9.1k
bazel,bazelbuild,https://github.com/bazelbuild/bazel,"afast,scalable,multi-languageandextensiblebuildsystem",Java,9k
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,"DeepLearningforJava,Scala&ClojureonHadoop&SparkWithGPUs-FromSkymind",Java,8.9k
Android-ObservableScrollView,ksoichiro,https://github.com/ksoichiro/Android-ObservableScrollView,Androidlibrarytoobservescrolleventsonscrollableviews.,Java,8.8k
MaterialDesignLibrary,navasmdc,https://github.com/navasmdc/MaterialDesignLibrary,ThisisalibrarywithcomponentsofAndroidLtoyouuseinandroid2.2,Java,8.7k
Android-PullToRefresh,chrisbanes,https://github.com/chrisbanes/Android-PullToRefresh,DEPRECATED,Java,8.7k
proxyee-down,monkeyWie,https://github.com/monkeyWie/proxyee-down,http下载工具，基于http代理，支持多连接分块下载,Java,8.5k
zipkin,openzipkin,https://github.com/openzipkin/zipkin,Zipkinisadistributedtracingsystem,Java,8.4k
kafka,apache,https://github.com/apache/kafka,MirrorofApacheKafka,Java,8.4k
recyclerview-animators,wasabeef,https://github.com/wasabeef/recyclerview-animators,AnAndroidAnimationlibrarywhicheasilyadditemanimatortoRecyclerViewitems.,Java,7.9k
vlayout,alibaba,https://github.com/alibaba/vlayout,"ProjectvlayoutisapowerfullLayoutManagerextensionforRecyclerView,itprovidesagroupoflayoutsforRecyclerV…",Java,7.9k
vert.x,eclipse,https://github.com/eclipse/vert.x,Vert.xisatool-kitforbuildingreactiveapplicationsontheJVM,Java,7.9k
VasSonic,Tencent,https://github.com/Tencent/VasSonic,"VasSonicisalightweightandhigh-performanceHybridframeworkdevelopedbytencentVASteam,whichisintendedtos…",Java,7.8k
BottomBarArchived,roughike,https://github.com/roughike/BottomBarArchived,(Deprecated)AcustomviewcomponentthatmimicsthenewMaterialDesignBottomNavigationpattern.,Java,7.8k
HomeMirror,HannahMitt,https://github.com/HannahMitt/HomeMirror,Androidapplicationpoweringthemirrorinmyhouse,Java,7.8k
disruptor,LMAX-Exchange,https://github.com/LMAX-Exchange/disruptor,HighPerformanceInter-ThreadMessagingLibrary,Java,7.7k
Calligraphy,chrisjenx,https://github.com/chrisjenx/Calligraphy,CustomfontsinAndroidtheeasyway...,Java,7.7k
AppIntro,apl-devs,https://github.com/apl-devs/AppIntro,MakeacoolintroforyourAndroidapp.,Java,7.7k
AndroidSlidingUpPanel,umano,https://github.com/umano/AndroidSlidingUpPanel,Thislibraryprovidesasimplewaytoaddadraggableslidinguppanel(popularizedbyGoogleMusicandGoogleMaps)…,Java,7.6k
